alamat,jk,lb,lt,harga
Antapani,3.0,75.0,84.0,590.0
Bandung Wetan,3.0,70.0,71.0,700.0
Padalarang,2.0,36.0,72.0,386.0
Bandung,2.0,60.0,60.0,499.0
Cibiru Hilir,2.0,90.0,114.0,397.0
Setiabudi,2.0,60.0,60.0,557.0
Buahbatu (Margacinta),2.0,48.0,80.0,448.0
Bandung,2.0,36.0,60.0,150.0
Dago,7.0,200.0,405.0,6466.5
Padalarang,3.0,75.0,84.0,580.0
Padalarang,3.0,75.0,84.0,600.0
Lembang,7.0,350.0,276.0,3500.0
Majalaya,2.0,30.0,60.0,150.0
Gegerkalong,7.0,474.5,405.0,6466.5
Rancaekek,2.0,30.0,60.0,297.0
Cidadap,3.0,100.0,100.0,1250.0
Sarijadi,3.0,60.0,80.0,250.0
Cicendo,3.0,65.0,71.0,1171.0
Cicalengka,2.0,37.0,60.0,331.0
Cibaduyut,2.0,70.0,100.0,350.0
Buahbatu,4.0,70.0,120.0,225.0
Cibaduyut,2.0,100.0,120.0,1650.0
Baleendah,2.0,21.0,35.0,65.0
Babakan Ciparay,2.0,80.0,120.0,420.0
Dago,3.0,65.0,70.0,699.0
Bojongsoang,3.0,45.0,72.0,450.0
Kopo,2.0,30.0,50.0,175.0
Bandung Wetan,2.0,49.0,78.0,468.0
Bojongsoang,2.0,36.0,60.0,297.0
Rancamulya,2.0,40.0,60.0,180.0
Arjasari,2.0,30.0,60.0,150.0
Banjaran,2.0,50.0,70.0,210.0
Soreang,2.0,36.0,60.0,150.0
Bandung,3.0,50.0,69.0,453.0
Antapani,3.0,140.0,125.0,550.0
Regol,4.0,150.0,110.0,1980.0
Sukamenak,7.0,450.0,405.0,2300.0
Rancamanyar,2.0,30.0,40.0,186.0
Cinunuk,3.0,40.0,65.0,195.0
Bojongsoang,2.0,80.0,47.0,300.0
Arcamanik,3.0,50.0,72.0,400.0
Arcamanik,4.0,170.0,342.0,1500.0
Bandung Kidul,2.0,30.0,60.0,150.0
Buahbatu,2.0,36.0,72.0,696.0
Cisaranten Kulon,3.0,75.0,71.0,675.0
Katapang,2.0,30.0,60.0,283.0
Ciwastra,2.0,36.0,60.0,360.0
Lembang,2.0,55.0,60.0,497.0
Andir,4.0,73.0,55.0,1175.0
Bandung,3.0,70.0,120.0,199.0
Rancasari,2.0,45.0,65.0,675.0
Bojongsoang,4.0,200.0,260.0,1700.0
Cigadung,3.0,100.0,160.0,1599.0
Padalarang,3.0,75.0,84.0,500.0
Ujung Berung,3.0,61.0,72.0,475.0
Cibiru,2.0,40.0,60.0,337.0
Ciwastra,2.0,40.0,60.0,477.0
Rancamulya,2.0,36.0,50.0,150.0
Jatihandap,2.0,36.0,84.0,365.0
Lengkong,6.0,315.0,254.0,2300.0
Bandung,3.0,75.0,84.0,600.0
Setiabudi,3.0,100.0,100.0,1350.0
Bandung,3.0,60.0,80.0,175.0
Ujung Berung,2.0,40.0,72.0,497.0
Banjaran,2.0,30.0,60.0,150.0
Buahbatu (Margacinta),2.0,45.0,72.0,549.0
Katapang,3.0,50.0,81.0,500.0
Bojongsoang,2.0,40.0,47.0,300.0
Antapani,3.0,120.0,90.0,1500.0
Buahbatu (Margacinta),2.0,40.0,60.0,445.0
Arcamanik,4.0,110.0,92.0,935.0
Buahbatu (Margacinta),2.0,83.0,72.0,450.0
Bojongsoang,2.0,40.0,47.0,390.0
Katapang,2.0,45.0,59.0,215.0
Batununggal,5.0,250.0,150.0,1500.0
Antapani,3.0,150.0,100.0,345.0
Sarijadi,3.0,50.0,62.0,731.0
Soreang,2.0,50.0,35.0,300.0
Kiaracondong,3.0,45.0,60.0,250.0
Buahbatu,3.0,60.0,36.0,267.0
Setiabudi,5.0,200.0,381.0,2990.0
Buahbatu,3.0,100.0,120.0,610.0
Sarijadi,3.0,50.0,60.0,687.0
Margahayu,2.0,30.0,40.0,100.0
Sarijadi,3.0,65.0,90.0,850.0
Andir,3.0,56.0,37.0,665.0
Rancamulya,2.0,36.0,50.0,190.0
Padalarang,2.0,38.0,63.0,385.0
Arcamanik,3.0,90.0,120.0,770.0
Cibiru,2.0,45.0,60.0,559.0
Arcamanik,3.0,70.0,167.0,1088.0
Bojongsoang,4.0,70.0,120.0,225.0
Kopo,2.0,80.0,120.0,475.0
Gegerkalong,4.0,200.0,148.0,1950.0
Arcamanik,3.0,77.0,193.0,1518.0
Bandung,2.0,50.0,66.0,580.0
Padasuka,5.0,120.0,110.0,1370.0
Lembang,2.0,40.0,118.0,800.0
Buahbatu,2.0,70.0,126.0,1000.0
Parongpong,2.0,40.0,72.0,530.0
Arjasari,2.0,30.0,60.0,155.0
Ciumbuleuit,3.0,80.0,70.0,695.0
Gedebage,2.0,58.0,56.0,847.0
Cigadung,2.0,50.0,72.0,799.0
Antapani,3.0,68.0,41.0,925.0
Parongpong,2.0,40.0,60.0,365.0
Bandung,2.0,36.0,60.0,100.0
Bandung,4.0,240.0,177.0,2420.0
Dago,2.0,98.0,120.0,1796.0
Cikutra,6.0,324.0,344.0,2300.0
Gegerkalong,2.0,101.0,278.0,1345.0
Setiabudi,2.0,60.0,60.0,499.0
Mekarwangi,7.0,300.0,215.0,3200.0
Bojongloa Kidul,2.0,36.0,60.0,115.0
Cibiru,2.0,45.0,80.0,520.0
Ciwastra,3.0,86.0,179.0,1150.0
Baleendah,3.0,120.0,60.0,485.0
Dago,4.0,230.0,264.0,3200.0
Buahbatu,2.0,40.0,55.0,225.0
Setiabudi,3.0,320.0,405.0,4200.0
Cinunuk,3.0,50.0,83.0,487.0
Jamika,2.0,34.0,41.0,640.0
Cangkuang,3.0,50.0,84.0,553.0
Bandung,5.0,212.0,155.0,2788.0
Bandung,2.0,43.0,55.0,871.0
Pameungpeuk,2.0,40.0,60.0,165.0
Bojongsoang,2.0,40.0,55.0,225.0
Soekarno Hatta,3.0,83.0,91.0,1100.0
Setiabudi,7.0,474.5,320.0,4600.0
Dago,3.0,135.0,290.0,4300.0
Padalarang,3.0,94.0,120.0,1874.0
Pameungpeuk,2.0,50.0,72.0,205.0
Rancamulya,2.0,40.0,60.0,170.0
Cimaung,4.0,100.0,300.0,227.0
Bojongloa Kaler,4.0,80.0,120.0,245.0
Dago,4.0,200.0,405.0,6466.5
Bandung,4.0,90.0,60.0,1062.0
Cileunyi,3.0,54.0,114.0,600.0
Ciwastra,3.0,100.0,127.0,1200.0
Batujajar,2.0,72.0,72.0,244.0
Padalarang,3.0,75.0,84.0,520.0
Soekarno Hatta,2.0,150.0,128.0,925.0
Regol,4.0,260.0,189.0,1999.0
Cileunyi,2.0,68.0,102.0,498.0
Arcamanik,2.0,50.0,91.0,750.0
Setiabudi,3.0,100.0,150.0,1700.0
Pameungpeuk,2.0,36.0,50.0,150.0
Soreang,2.0,36.0,60.0,350.0
Padalarang,4.0,196.0,290.0,4400.0
Turangga,4.0,180.0,126.0,2350.0
Soreang,2.0,45.0,60.0,260.0
Buahbatu,2.0,54.0,105.0,850.0
Lembang,3.0,123.0,102.0,1789.0
Dayeuhkolot,7.0,474.5,385.0,6466.5
Arcamanik,2.0,42.0,112.0,710.0
Lembang,3.0,110.0,158.0,1650.0
Padalarang,3.0,124.0,96.0,500.0
Ciparay,2.0,36.0,66.0,180.0
Lembang,2.0,98.0,120.0,1709.0
Sukarasa,3.0,70.0,100.0,1171.0
Cisarua,1.0,30.0,54.0,275.0
Buahbatu (Margacinta),4.0,120.0,130.0,855.0
Rancamulya,2.0,30.0,50.0,130.0
Cicalengka,2.0,27.0,72.0,150.0
Gedebage,2.0,40.0,60.0,477.0
Dago,5.0,400.0,320.0,6000.0
Lembang,3.0,123.0,102.0,1689.0
Padalarang,3.0,60.0,80.0,625.0
Buahbatu,2.0,94.0,90.0,1723.0
Kopo,3.0,80.0,160.0,611.0
Katapang,2.0,70.0,100.0,435.0
Baleendah,2.0,40.0,55.0,225.0
Cipaganti,7.0,474.5,405.0,6466.5
Antapani,4.0,110.0,112.0,1750.0
Sumur Bandung,2.0,68.0,34.0,550.0
Cimaung,4.0,70.0,120.0,225.0
Ngamprah,3.0,115.0,154.0,430.0
Pasteur,4.0,149.0,63.0,1550.0
Arcamanik,2.0,36.0,66.0,580.0
Sukagalih,3.0,100.0,226.0,800.0
Ujung Berung,3.0,60.0,80.0,475.0
Buahbatu,3.0,80.0,88.0,1800.0
Cibaduyut,4.0,80.0,120.0,245.0
Bandung,2.0,40.0,60.0,450.0
Parongpong,3.0,90.0,100.0,1000.0
Dago,3.0,241.0,148.0,2700.0
Cibiru,5.0,110.0,97.0,685.0
Buahbatu,2.0,36.0,60.0,267.0
Cicalengka,2.0,52.0,84.0,488.0
Rancaekek,2.0,29.0,60.0,297.0
Gegerkalong,5.0,300.0,405.0,4500.0
Katapang,2.0,45.0,55.0,220.0
Dago,6.0,400.0,405.0,6466.5
Arcamanik,2.0,72.0,98.0,575.0
Pajajaran,3.0,60.0,45.0,1300.0
Buahbatu,2.0,36.0,66.0,1060.0
Arcamanik,2.0,60.0,98.0,575.0
Setiabudi,5.0,300.0,360.0,3990.0
Bojongsoang,2.0,40.0,47.0,395.0
Kopo,3.0,126.0,96.0,1850.0
Rancasari,3.0,150.0,190.0,850.0
Padalarang,4.0,200.0,144.0,2500.0
Bojongloa Kaler,2.0,40.0,72.0,430.0
Margaasih,3.0,128.0,90.0,1700.0
Cijerah,2.0,160.0,120.0,1180.0
Soreang,2.0,58.0,75.0,400.0
Rancasari,5.0,300.0,380.0,2900.0
Dago,7.0,400.0,405.0,6466.5
Batununggal,5.0,300.0,255.0,2300.0
Setiabudi,7.0,474.5,405.0,6466.5
Bojongsoang,2.0,40.0,43.0,355.0
Cibiru,2.0,90.0,114.0,397.0
Katapang,2.0,35.0,40.0,175.0
Lembang,2.0,35.0,55.0,477.0
Antapani,3.0,125.0,90.0,1475.0
Bandung,4.0,90.0,57.0,1069.0
Pacet,2.0,30.0,60.0,150.0
Ciwastra,2.0,70.0,119.0,765.0
Baleendah,2.0,30.0,72.0,280.0
Bojongsoang,3.0,88.0,84.0,850.0
Arcamanik,3.0,72.0,95.0,579.0
Bojongsoang,4.0,80.0,120.0,245.0
Antapani,3.0,100.0,92.0,1399.0
Cibaduyut,2.0,36.0,50.0,140.0
Bojongsoang,2.0,36.0,60.0,330.0
Setiabudi,3.0,123.0,102.0,1689.0
Antapani,2.0,58.0,140.0,990.0
Rancasari,2.0,74.0,114.0,825.0
Sarijadi,3.0,110.0,89.0,1500.0
Cicaheum,3.0,62.0,59.0,891.0
Gedebage,3.0,80.0,91.0,1200.0
Kopo,4.0,120.0,144.0,1350.0
Setiabudi,3.0,235.0,267.0,2300.0
Gedebage,3.0,98.0,105.0,1800.0
Andir,4.0,90.0,61.0,1330.0
Rancasari,3.0,78.0,75.0,918.0
Buahbatu,4.0,300.0,320.0,6466.5
Kopo,3.0,130.0,108.0,1600.0
Pasteur,2.0,149.0,70.0,1600.0
Buahbatu,4.0,147.0,140.0,3841.0
Buahbatu,7.0,185.0,200.0,2000.0
Padalarang,4.0,196.0,290.0,3829.0
Bandung,4.0,450.0,405.0,6466.5
Buahbatu,4.0,180.0,210.0,1800.0
Regol,4.0,240.0,319.0,3500.0
Cidadap,3.0,123.0,102.0,1690.0
Rancaekek,2.0,40.0,72.0,436.0
Lengkong,5.0,200.0,223.0,3750.0
Buahbatu,4.0,160.0,126.0,2350.0
Cicalengka,2.0,37.0,60.0,364.0
Regol,4.0,240.0,177.0,2390.0
Kopo,3.0,140.0,233.0,1800.0
Sulaiman,2.0,48.0,70.0,425.0
Batujajar,2.0,48.0,90.0,485.0
Padasuka,2.0,52.0,90.0,715.0
Padalarang,3.0,75.0,84.0,495.0
Batununggal,3.0,350.0,240.0,6000.0
Coblong,4.0,250.0,212.0,2900.0
Cibeunying,5.0,470.0,405.0,6466.5
Lingkar Selatan,5.0,150.0,144.0,1800.0
Regol,6.0,210.0,190.0,2500.0
Andir,4.0,90.0,61.0,1198.0
Gatot Subroto,1.0,411.0,405.0,2550.0
Setiabudi,3.0,160.0,200.0,3000.0
Lembang,7.0,350.0,276.0,3250.0
Sukasari,5.0,200.0,150.0,2600.0
Katapang,2.0,30.0,30.0,145.0
Cikutra,2.0,100.0,161.0,1200.0
Buahbatu,3.0,122.0,91.0,1384.0
Buahbatu,7.0,340.0,288.0,3300.0
Cigadung,3.0,150.0,152.0,2494.0
Cikutra,4.0,155.0,215.0,2200.0
Kopo,2.0,98.0,126.0,1500.0
Bandung,4.0,240.0,136.0,2600.0
Buahbatu (Margacinta),3.0,49.0,50.0,729.0
Cicaheum,3.0,62.0,62.0,986.0
Gedebage,4.0,300.0,375.0,6466.5
Sindanglaya,2.0,40.0,96.0,689.0
Cicalengka,2.0,39.0,72.0,402.0
Cipaganti,3.0,474.5,405.0,6466.5
Katapang,2.0,36.0,50.0,195.0
Padalarang,3.0,75.0,84.0,585.0
Kopo,2.0,90.0,96.0,825.0
Riau,7.0,350.0,405.0,6466.5
Kopo,3.0,150.0,180.0,1300.0
Bojongsoang,7.0,250.0,405.0,4199.0
Margahayu Utara,4.0,400.0,204.0,2500.0
Antapani,3.0,227.0,300.0,4000.0
Lembang,7.0,276.0,350.0,4250.0
Bandung Kulon,3.0,150.0,170.0,2550.0
Regol,4.0,280.0,180.0,3500.0
Kopo,4.0,141.0,140.0,1600.0
Cibaduyut,4.0,300.0,200.0,4000.0
Buahbatu,7.0,300.0,405.0,3500.0
Sarijadi,2.0,144.0,172.0,3500.0
Padalarang,5.0,348.0,405.0,6466.5
Ujung Berung,4.0,300.0,226.0,2800.0
Soekarno Hatta,3.0,90.0,126.0,1635.0
Lembang,7.0,350.0,276.0,4250.0
Ujung Berung,2.0,42.0,89.0,413.0
Gegerkalong,2.0,50.0,152.0,975.0
Soreang,3.0,96.0,158.0,650.0
Bojongsoang,2.0,36.0,80.0,380.0
Bandung,2.0,60.0,84.0,490.0
Bandung,3.0,60.0,67.0,737.0
Cibaduyut,4.0,175.0,125.0,900.0
Bandung,3.0,160.0,126.0,1100.0
Bandung,4.0,220.0,207.0,3300.0
Bandung,7.0,400.0,375.0,3250.0
Buahbatu,6.0,474.5,385.0,3500.0
Bandung,4.0,85.0,150.0,1000.0
Bandung,4.0,280.0,120.0,3200.0
Bandung,4.0,120.0,117.0,1163.0
Gedebage,2.0,54.0,66.0,1275.0
Ngamprah,4.0,129.0,387.0,1300.0
Bandung Wetan,7.0,400.0,405.0,6466.5
Bandung,6.0,440.0,230.0,3200.0
Bandung,3.0,190.0,262.0,3000.0
Bandung,6.0,126.0,190.0,3325.0
Mekarwangi,3.0,255.0,187.0,3350.0
Bojongloa Kidul,4.0,300.0,197.0,3200.0
Cibaduyut,6.0,237.0,202.0,1275.0
Antapani,3.0,83.0,83.0,1257.0
Antapani,4.0,270.0,200.0,1299.0
Margahayu,1.0,196.0,106.0,1300.0
Bandung,3.0,127.0,160.0,1300.0
Lengkong,4.0,200.0,280.0,3300.0
Bojongloa Kidul,6.0,380.0,200.0,3600.0
Cidadap,3.0,376.0,216.0,6300.0
Turangga,3.0,106.0,211.0,3700.0
Bandung,3.0,160.0,251.0,3200.0
Mandalajati,4.0,159.0,176.0,3499.0
Buahbatu,4.0,159.0,176.0,3500.0
Cigondewah,3.0,160.0,198.0,1250.0
Pameungpeuk,2.0,30.0,40.0,115.0
Gedebage,3.0,100.0,104.0,1700.0
Cibiru,7.0,320.0,252.0,2250.0
Parongpong,3.0,69.0,99.0,1149.0
Padalarang,4.0,474.5,350.0,3400.0
Regol,3.0,167.0,160.0,1450.0
Mekarwangi,3.0,260.0,180.0,3100.0
Setiabudi,5.0,474.5,405.0,6466.5
Margaasih,3.0,90.0,110.0,1100.0
Padasuka,6.0,422.0,405.0,3000.0
Padalarang,2.0,53.0,90.0,1001.0
Bandung,2.0,90.0,97.0,1150.0
Sukarasa,5.0,185.0,120.0,2300.0
Pasteur,3.0,350.0,235.0,4250.0
Kopo,5.0,330.0,238.0,3100.0
Kiaracondong,4.0,156.0,160.0,3210.0
Bandung,4.0,142.0,180.0,3041.0
Ciparay,2.0,38.0,72.0,259.0
Pasteur,3.0,250.0,156.0,3150.0
Sukajadi,4.0,450.0,405.0,6466.5
Cibeunying Kidul,5.0,120.0,110.0,1067.0
Buahbatu (Margacinta),3.0,120.0,150.0,975.0
Arcamanik,4.0,300.0,292.0,2500.0
Astana Anyar,5.0,130.0,122.0,3500.0
Katapang,2.0,43.0,72.0,355.0
Margaasih,2.0,60.0,72.0,550.0
Bandung,2.0,50.0,72.0,175.0
Cikutra,2.0,50.0,66.0,650.0
Arcamanik,4.0,177.0,165.0,1450.0
Sarijadi,4.0,400.0,257.0,3200.0
Bandung,6.0,160.0,140.0,1100.0
Riau,2.0,474.5,358.0,6466.5
Cigondewah,3.0,135.0,145.0,1300.0
Pajajaran,7.0,320.0,175.0,1850.0
Bandung Kidul,5.0,200.0,224.0,3300.0
Dago,3.0,100.0,100.0,2000.0
Antapani,6.0,150.0,208.0,1380.0
Sukasari,4.0,300.0,120.0,3250.0
Margaasih,5.0,235.0,214.0,1300.0
Mekarwangi,5.0,155.0,135.0,2850.0
Batununggal,5.0,280.0,200.0,5000.0
Antapani,4.0,155.0,184.0,1200.0
Buahbatu (Margacinta),7.0,300.0,200.0,1300.0
Padalarang,3.0,94.0,120.0,1770.0
Cimenyan,2.0,87.0,114.0,1100.0
Soekarno Hatta,3.0,200.0,128.0,1150.0
Kopo,7.0,196.0,196.0,3500.0
Bandung,2.0,180.0,115.0,1050.0
Buahbatu,4.0,200.0,105.0,1290.0
Cileunyi,2.0,90.0,135.0,700.0
Parongpong,4.0,290.0,120.0,3200.0
Margaasih,3.0,90.0,110.0,1200.0
Padalarang,4.0,210.0,405.0,1300.0
Regol,3.0,175.0,250.0,3100.0
Rancasari,2.0,70.0,102.0,675.0
Regol,5.0,474.5,216.0,3400.0
Gedebage,4.0,214.0,180.0,3500.0
Cidadap,5.0,270.0,242.0,3250.0
Bandung,5.0,215.0,299.0,3400.0
Bandung Wetan,5.0,269.0,405.0,6466.5
Bojongsoang,2.0,45.0,72.0,567.0
Padalarang,5.0,300.0,242.0,3400.0
Regol,4.0,160.0,167.0,1444.0
Padalarang,3.0,75.0,84.0,599.0
Buahbatu,2.0,72.0,96.0,1300.0
Gedebage,2.0,60.0,90.0,1200.0
Lembang,3.0,474.5,405.0,6000.0
Katapang,2.0,36.0,50.0,175.0
Soreang,2.0,30.0,60.0,350.0
Bandung,3.0,240.0,104.0,3200.0
Soekarno Hatta,5.0,300.0,400.0,6400.0
Margahayu Utara,4.0,320.0,240.0,3400.0
Buahbatu,2.0,60.0,95.0,890.0
Regol,4.0,150.0,81.0,790.0
Lembang,3.0,100.0,180.0,549.0
Lembang,2.0,90.0,168.0,300.0
Regol,4.0,80.0,50.0,750.0
Mekarwangi,5.0,150.0,150.0,2450.0
Buahbatu,3.0,160.0,120.0,1000.0
Pelindung Hewan,4.0,200.0,224.0,1800.0
Mekarwangi,4.0,200.0,200.0,3025.0
Paledang,7.0,213.0,405.0,6466.5
Bojongsoang,2.0,38.0,77.0,405.0
Regol,3.0,102.0,85.0,675.0
Bojongloa Kidul,7.0,474.5,300.0,3750.0
Parongpong,3.0,60.0,65.0,485.0
Bojongloa Kidul,3.0,60.0,90.0,1073.0
Pasteur,3.0,450.0,315.0,3950.0
Antapani,4.0,150.0,190.0,1300.0
Pasteur,5.0,300.0,208.0,3900.0
Bandung,4.0,114.0,120.0,1100.0
Batununggal,6.0,450.0,350.0,4700.0
Sukasari,5.0,450.0,300.0,4500.0
Pasteur,3.0,116.0,193.0,2400.0
Turangga,4.0,240.0,167.0,3200.0
Margahayu,4.0,270.0,250.0,3250.0
Cileunyi,2.0,38.0,63.0,389.0
Regol,2.0,80.0,70.0,750.0
Bandung,3.0,100.0,126.0,1450.0
Cimenyan,3.0,125.0,315.0,3493.0
Padalarang,5.0,450.0,399.0,6000.0
Katapang,2.0,36.0,50.0,175.0
Bandung,2.0,60.0,157.0,976.0
Pasteur,3.0,171.0,157.0,3500.0
Bandung,5.0,250.0,200.0,2800.0
Bandung,2.0,45.0,60.0,425.0
Katapang,2.0,36.0,50.0,175.0
Kopo,3.0,90.0,102.0,875.0
Bandung Kulon,4.0,450.0,405.0,4800.0
Kiaracondong,5.0,180.0,110.0,1100.0
Cimenyan,3.0,200.0,240.0,2250.0
Antapani,4.0,250.0,143.0,1700.0
Mekarwangi,4.0,110.0,145.0,2400.0
Batununggal,4.0,200.0,300.0,5000.0
Cileunyi,3.0,100.0,167.0,1250.0
Pasteur,7.0,440.0,405.0,4350.0
Pasteur,6.0,190.0,350.0,3900.0
Pameungpeuk,2.0,50.0,36.0,142.0
Sindanglaya,2.0,42.0,112.0,750.0
Margahayu,6.0,317.0,405.0,3300.0
Nanjung,5.0,170.0,100.0,1250.0
Astana Anyar,5.0,300.0,232.0,2700.0
Sumur Bandung,4.0,210.0,405.0,6466.5
Antapani,4.0,250.0,200.0,3200.0
Batununggal,4.0,156.0,156.0,3200.0
Arcamanik,3.0,120.0,117.0,1163.0
Ujung Berung,2.0,72.0,96.0,685.0
Pasteur,3.0,65.0,170.0,1200.0
Cigadung,4.0,197.0,123.0,2250.0
Ngamprah,4.0,240.0,162.0,1200.0
Gegerkalong,4.0,200.0,117.0,1200.0
Buahbatu,2.0,40.0,84.0,1202.0
Cijerah,3.0,81.0,58.0,975.0
Jatinangor,7.0,474.5,164.0,5500.0
Regol,2.0,85.0,70.0,710.0
Margaasih,2.0,60.0,72.0,425.0
Garuda,4.0,400.0,400.0,5500.0
