alamat,jk,lb,lt,harga
Bojongloa Kidul,3.0,130.0,150.0,1100.0
Sukagalih,5.0,474.5,405.0,6466.5
Arcamanik,2.0,45.0,72.0,586.0
Bandung,3.0,120.0,140.0,950.0
Coblong,3.0,160.0,128.0,2200.0
Bandung,4.0,88.0,144.0,900.0
Bandung,3.0,160.0,140.0,1900.0
Cigondewah,4.0,120.0,153.0,1800.0
Mekarwangi,5.0,176.0,120.0,3450.0
Setiabudi,3.0,270.0,242.0,2950.0
Setiabudi,4.0,200.0,200.0,2700.0
Bandung,7.0,474.5,405.0,6466.5
Soekarno Hatta,3.0,55.0,102.0,699.0
Sukasari,4.0,474.5,405.0,6466.5
Bandung,4.0,97.0,162.0,1850.0
Bandung,7.0,140.0,80.0,600.0
Bandung,4.0,149.0,63.0,1550.0
Pasteur,6.0,474.5,405.0,6466.5
Parongpong,2.0,38.0,72.0,565.0
Parongpong,6.0,400.0,330.0,3200.0
Riau,5.0,400.0,405.0,6466.5
Buahbatu,3.0,120.0,128.0,850.0
Mekarwangi,3.0,134.0,100.0,2345.0
Riau,4.0,300.0,120.0,3200.0
Margahayu,2.0,70.0,96.0,850.0
Cilengkrang,3.0,54.0,51.0,623.0
Cinunuk,1.0,1.0,60.0,160.0
Mekarwangi,5.0,150.0,150.0,3300.0
Mekarwangi,4.0,204.0,153.0,3500.0
Mekarwangi,4.0,110.0,75.0,1700.0
Mekarsaluyu,5.0,474.5,405.0,6466.5
Sukasari,4.0,350.0,268.0,2700.0
Cibeunying Kidul,2.0,70.0,80.0,700.0
Bandung Kulon,3.0,75.0,91.0,750.0
Bandung,2.0,150.0,154.0,550.0
Buahbatu (Margacinta),2.0,30.0,50.0,225.0
Sukajadi,2.0,105.0,93.0,1600.0
Mekarwangi,3.0,190.0,138.0,2400.0
Soekarno Hatta,2.0,65.0,65.0,965.0
Mekarwangi,3.0,150.0,180.0,2300.0
Astana Anyar,2.0,55.0,70.0,780.0
Baleendah,2.0,70.0,154.0,660.0
Padalarang,2.0,65.0,126.0,1550.0
Riau,6.0,474.5,400.0,6466.5
Antapani,3.0,125.0,95.0,1200.0
Pasirlayung,3.0,110.0,115.0,575.0
Lembang,4.0,200.0,250.0,5900.0
Buahbatu (Margacinta),4.0,120.0,200.0,1600.0
Pasteur,5.0,150.0,196.0,3000.0
Parongpong,7.0,400.0,360.0,2800.0
Antapani,5.0,120.0,135.0,1500.0
Mekarwangi,5.0,300.0,197.0,3200.0
Mekarwangi,5.0,280.0,200.0,3600.0
Mekarwangi,5.0,210.0,210.0,2800.0
Arcamanik,3.0,60.0,66.0,600.0
Regol,4.0,240.0,167.0,2950.0
Bandung,4.0,330.0,405.0,4500.0
Margahayu,3.0,60.0,80.0,475.0
Bandung,3.0,200.0,280.0,1700.0
Bandung Kidul,4.0,460.0,405.0,3700.0
Bandung Wetan,6.0,474.5,405.0,6466.5
Paseh,5.0,432.0,405.0,5250.0
Sukasari,3.0,200.0,165.0,1800.0
Bandung,3.0,84.0,84.0,800.0
Mekarwangi,4.0,120.0,90.0,1850.0
Buahbatu (Margacinta),4.0,100.0,160.0,1375.0
Soreang,2.0,30.0,60.0,371.0
Pasteur,3.0,50.0,60.0,646.0
Lengkong,5.0,255.0,140.0,2750.0
Lengkong,3.0,82.0,123.0,954.0
Cangkuang,5.0,380.0,405.0,850.0
Bandung,3.0,400.0,330.0,3100.0
Sukamiskin,2.0,60.0,90.0,728.0
Cigadung,3.0,190.0,80.0,1500.0
Mekarwangi,4.0,180.0,185.0,2600.0
Bandung Wetan,4.0,177.0,405.0,6466.5
Bandung,4.0,160.0,180.0,2750.0
Cangkuang,4.0,78.0,78.0,726.0
Bandung,6.0,450.0,373.0,3800.0
Soekarno Hatta,2.0,75.0,104.0,650.0
Regol,7.0,224.0,220.0,4000.0
Bandung,6.0,474.5,405.0,6466.5
Bandung,2.0,128.0,57.0,1390.0
Gatot Subroto,7.0,230.0,405.0,6466.5
Parongpong,3.0,50.0,60.0,547.0
Pasteur,2.0,45.0,113.0,860.0
Turangga,3.0,160.0,178.0,1500.0
Bandung,3.0,200.0,405.0,3800.0
Sukasari,3.0,404.0,405.0,6466.5
Bandung,3.0,150.0,114.0,1950.0
Soekarno Hatta,5.0,300.0,300.0,2900.0
Cigadung,4.0,175.0,140.0,2500.0
Ujung Berung,2.0,40.0,55.0,225.0
Bandung,2.0,58.0,89.0,737.0
Ciumbuleuit,3.0,80.0,70.0,745.0
Bandung,4.0,180.0,150.0,1500.0
Bojongsoang,2.0,40.0,84.0,1169.0
Bandung,4.0,140.0,195.0,2200.0
Bandung,6.0,72.0,312.0,1200.0
Ciwastra,2.0,36.0,72.0,550.0
Cimenyan,2.0,36.0,84.0,365.0
Arcamanik,5.0,288.0,240.0,2100.0
Buahbatu,2.0,48.0,98.0,785.0
Cibeunying Kaler,4.0,180.0,100.0,1700.0
Bandung,5.0,474.5,405.0,6466.5
Pameungpeuk,2.0,36.0,48.0,135.0
Andir,3.0,71.0,85.0,800.0
Antapani,3.0,70.0,119.0,980.0
Bandung,3.0,150.0,217.0,1250.0
Surapati,7.0,200.0,110.0,850.0
Surapati,5.0,300.0,405.0,6466.5
Cipagalo,3.0,84.0,66.0,750.0
Bandung,3.0,70.0,71.0,590.0
Bandung,3.0,10.0,126.0,1300.0
Riau,4.0,200.0,380.0,6466.5
Riau,3.0,250.0,202.0,5000.0
Dago,7.0,474.5,405.0,6466.5
Bandung,3.0,112.0,158.0,1000.0
Antapani,6.0,180.0,96.0,975.0
Padalarang,3.0,165.0,126.0,1500.0
Turangga,2.0,80.0,60.0,525.0
Sukajadi,2.0,100.0,111.0,1200.0
Buahbatu,4.0,150.0,154.0,1450.0
Setiabudi,3.0,80.0,60.0,799.0
Bandung,7.0,474.5,405.0,6466.5
Pasteur,4.0,65.0,72.0,1035.0
Dago,3.0,245.0,405.0,6466.5
Sumur Bandung,5.0,158.0,220.0,6466.5
Braga,3.0,474.5,390.0,6466.5
Sumur Bandung,7.0,474.5,390.0,6466.5
Bandung,5.0,100.0,140.0,1300.0
Bandung,4.0,180.0,155.0,1250.0
Rancasari,5.0,190.0,100.0,1375.0
Mekarwangi,3.0,180.0,126.0,2300.0
Soekarno Hatta,3.0,82.0,95.0,1135.0
Bandung,4.0,200.0,310.0,2800.0
Bandung,4.0,160.0,144.0,1400.0
Pasirlayung,4.0,474.5,405.0,5300.0
Dago,4.0,128.0,120.0,2600.0
Parongpong,3.0,300.0,215.0,2700.0
Buahbatu,3.0,112.0,74.0,1400.0
Antapani,4.0,141.0,91.0,1350.0
Cisaranten Kulon,4.0,150.0,150.0,1600.0
Bandung,3.0,94.0,97.0,1100.0
Margahayu,2.0,55.0,75.0,770.0
Padalarang,2.0,72.0,138.0,1500.0
Buahbatu,3.0,94.0,102.0,1750.0
Riau,2.0,474.5,405.0,6466.5
Bandung,4.0,350.0,268.0,2750.0
Isola,4.0,268.0,350.0,2800.0
Bandung,5.0,180.0,90.0,857.0
Bandung,3.0,280.0,360.0,2200.0
Bandung,4.0,400.0,310.0,5750.0
Bandung,4.0,220.0,140.0,2800.0
Buahbatu,2.0,47.0,50.0,588.0
Antapani,4.0,170.0,90.0,975.0
Banjaran,2.0,32.0,60.0,289.0
Coblong,2.0,67.0,60.0,650.0
Cigondewah,2.0,100.0,130.0,1075.0
Cisarua,2.0,57.0,60.0,595.0
Mekarwangi,4.0,150.0,90.0,1850.0
Katapang,3.0,50.0,63.0,633.0
Cisarua,4.0,250.0,405.0,6466.5
Bandung,4.0,120.0,90.0,1850.0
Bandung,5.0,200.0,405.0,4300.0
Cibeunying Kaler,6.0,200.0,120.0,1050.0
Bandung,2.0,60.0,49.0,695.0
Bandung,4.0,113.0,90.0,1250.0
Padalarang,3.0,90.0,126.0,1800.0
Buahbatu,4.0,200.0,136.0,1150.0
Buahbatu,3.0,58.0,90.0,625.0
Antapani,5.0,120.0,106.0,960.0
Bandung,2.0,55.0,82.0,650.0
Merdeka,5.0,474.5,405.0,6466.5
Bandung,3.0,65.0,170.0,965.0
Ciwastra,3.0,100.0,100.0,1300.0
Antapani,3.0,150.0,299.0,3200.0
Mekarwangi,3.0,110.0,75.0,1750.0
Parongpong,2.0,36.0,74.0,440.0
Rancasari,3.0,100.0,100.0,600.0
Banjaran,2.0,65.0,30.0,175.0
Bojongloa Kidul,4.0,260.0,180.0,3000.0
Buahbatu (Margacinta),3.0,250.0,120.0,1275.0
Buahbatu (Margacinta),6.0,200.0,111.0,1699.0
Babakan Ciparay,3.0,113.0,90.0,1250.0
Bandung,4.0,140.0,154.0,1000.0
Cibeunying Kaler,3.0,100.0,100.0,1850.0
Cigadung,7.0,180.0,98.0,1600.0
Margahayu Utara,3.0,80.0,86.0,549.0
Rancasari,3.0,100.0,61.0,375.0
Bandung,2.0,120.0,246.0,2150.0
Cidadap,5.0,300.0,405.0,6466.5
Buahbatu,7.0,187.0,295.0,4500.0
Bandung,5.0,300.0,210.0,2500.0
Bandung,5.0,474.5,405.0,5000.0
Bandung,4.0,250.0,176.0,2000.0
Padalarang,2.0,69.0,105.0,1637.0
Bandung,6.0,474.5,354.0,6466.5
Bandung,3.0,150.0,172.0,2600.0
Bandung,4.0,150.0,120.0,1450.0
Sekejati,4.0,60.0,105.0,900.0
Sumur Bandung,3.0,200.0,211.0,4300.0
Rancasari,5.0,400.0,200.0,2100.0
Cicalengka,2.0,30.0,72.0,450.0
Bojongsari,2.0,38.0,77.0,405.0
Sukasari,5.0,474.5,405.0,6466.5
Lembang,5.0,474.5,405.0,6466.5
Bandung,4.0,400.0,267.0,2000.0
Bandung,7.0,186.0,405.0,1400.0
Bandung,2.0,80.0,100.0,850.0
Cibaduyut,3.0,170.0,132.0,975.0
Mekarwangi,3.0,65.0,74.0,820.0
Bandung,5.0,300.0,200.0,3800.0
Padalarang,3.0,97.0,162.0,2100.0
Bandung,4.0,110.0,92.0,940.0
Bandung Kulon,3.0,90.0,55.0,600.0
Bandung,3.0,78.0,103.0,775.0
Pasteur,5.0,300.0,386.0,4200.0
Pasteur,3.0,144.0,161.0,3500.0
Regol,3.0,60.0,85.0,750.0
Bojongsoang,2.0,50.0,60.0,407.0
Antapani,4.0,95.0,110.0,1135.0
Bandung,2.0,45.0,65.0,650.0
Parongpong,3.0,70.0,65.0,675.0
Kopo,3.0,75.0,94.0,850.0
Antapani,7.0,419.0,351.0,3250.0
Bandung,2.0,50.0,60.0,500.0
Parongpong,2.0,45.0,125.0,500.0
Antapani,5.0,120.0,110.0,1370.0
Buahbatu,3.0,104.0,120.0,1225.0
Ujung Berung,3.0,75.0,101.0,825.0
Kopo,2.0,40.0,55.0,225.0
Cileunyi,3.0,45.0,60.0,588.0
Coblong,3.0,150.0,405.0,2250.0
Pasteur,4.0,474.5,355.0,5900.0
Buahbatu,5.0,170.0,100.0,1200.0
Parongpong,6.0,474.5,300.0,4100.0
Bandung,2.0,36.0,72.0,467.0
Cidadap,4.0,200.0,405.0,6466.5
Buahbatu,2.0,85.0,120.0,1050.0
Kopo,3.0,110.0,105.0,1100.0
Soekarno Hatta,2.0,56.0,132.0,1400.0
Bandung,4.0,90.0,147.0,1500.0
Kiaracondong,3.0,80.0,80.0,880.0
Bandung,4.0,286.0,216.0,2200.0
Bandung,4.0,300.0,200.0,3700.0
Katapang,2.0,36.0,62.0,432.0
Sukahaji,4.0,200.0,162.0,2300.0
Mekarwangi,3.0,150.0,146.0,2450.0
Sukasari,6.0,400.0,308.0,2500.0
Bandung,3.0,99.0,165.0,2320.0
Cimenyan,3.0,120.0,110.0,1012.0
Margahayu,3.0,115.0,115.0,800.0
Sukasari,3.0,170.0,180.0,2200.0
Bandung,3.0,230.0,282.0,2700.0
Bandung,4.0,300.0,181.0,3800.0
Cibiru,2.0,45.0,116.0,525.0
Bojongsoang,2.0,66.0,58.0,1268.0
Buahbatu,2.0,57.0,66.0,1100.0
Cikutra,2.0,52.0,60.0,532.0
Arcamanik,3.0,160.0,198.0,2700.0
Parongpong,3.0,120.0,372.0,1600.0
Buahbatu,3.0,50.0,71.0,629.0
Sumur Bandung,2.0,70.0,84.0,595.0
Soreang,2.0,36.0,72.0,383.0
Pasteur,7.0,200.0,285.0,2750.0
Buahbatu,3.0,130.0,145.0,1300.0
Lembang,2.0,65.0,60.0,398.0
Parongpong,4.0,250.0,196.0,4250.0
Parongpong,5.0,277.0,371.0,2300.0
Bandung Kulon,4.0,220.0,140.0,2350.0
Kopo,3.0,126.0,97.0,1300.0
Setiabudi,5.0,400.0,405.0,4900.0
Parongpong,4.0,474.5,405.0,6466.5
Parongpong,3.0,54.0,101.0,961.0
Sukasari,3.0,140.0,97.0,2350.0
Soekarno Hatta,5.0,350.0,216.0,4750.0
Cisurupan,2.0,36.0,66.0,525.0
Antapani,4.0,240.0,252.0,3250.0
Cileunyi Kulon,2.0,36.0,72.0,250.0
Bandung,6.0,350.0,229.0,2300.0
Bandung,4.0,350.0,405.0,4500.0
Bandung,5.0,250.0,148.0,3000.0
Bandung,4.0,180.0,185.0,2500.0
Lengkong,2.0,50.0,72.0,475.0
Nanjung,2.0,30.0,66.0,424.0
Bandung,5.0,200.0,400.0,4100.0
Bojongloa Kidul,2.0,111.0,66.0,650.0
Bandung,2.0,63.0,70.0,650.0
Dago,3.0,350.0,136.0,3200.0
Bandung,3.0,180.0,235.0,2900.0
Bandung,3.0,140.0,75.0,1320.0
Cibaduyut,1.0,300.0,200.0,1200.0
Padalarang,4.0,97.0,162.0,1800.0
Kopo,5.0,250.0,102.0,1000.0
Padalarang,4.0,108.0,202.0,1950.0
Parongpong,2.0,40.0,56.0,477.0
Bandung,3.0,190.0,203.0,3700.0
Bandung,2.0,100.0,212.0,700.0
Mekarwangi,3.0,110.0,132.0,2400.0
Margasari,3.0,102.0,78.0,950.0
Buahbatu,3.0,120.0,133.0,895.0
Derwati,2.0,41.0,72.0,640.0
Parongpong,7.0,474.5,405.0,6466.5
Rancasari,5.0,154.0,405.0,2700.0
Rancasari,4.0,252.0,170.0,1950.0
Bandung,2.0,60.0,72.0,537.0
Bandung,4.0,133.0,120.0,1500.0
Gumuruh,5.0,250.0,335.0,3500.0
Bandung,3.0,200.0,86.0,2290.0
Arcamanik,3.0,115.0,169.0,2400.0
Riau,7.0,474.5,405.0,6466.5
Bandung Wetan,2.0,45.0,65.0,600.0
Rancasari,2.0,60.0,84.0,490.0
Sukasari,2.0,45.0,48.0,750.0
Ciumbuleuit,6.0,474.5,365.0,6466.5
Ciwastra,3.0,50.0,72.0,459.0
Bandung,2.0,38.0,77.0,398.0
Bandung Kulon,7.0,250.0,314.0,3300.0
Gedebage,3.0,90.0,105.0,1700.0
Cigondewah,3.0,200.0,252.0,2850.0
Bojongsoang,4.0,120.0,84.0,650.0
Margaasih,2.0,65.0,75.0,600.0
Mekarwangi,3.0,105.0,75.0,1550.0
Antapani,3.0,150.0,180.0,1150.0
Bandung Kidul,2.0,45.0,78.0,671.0
Bandung,5.0,350.0,405.0,5500.0
Bandung,2.0,168.0,92.0,1752.0
Bandung Wetan,4.0,329.0,405.0,5000.0
Bandung,3.0,150.0,301.0,1550.0
Bandung,3.0,150.0,130.0,2150.0
Katapang,2.0,36.0,60.0,170.0
Cisaranten Wetan,4.0,260.0,270.0,2900.0
Sumur Bandung,3.0,100.0,101.0,1850.0
Bandung,6.0,280.0,200.0,3600.0
Ciateul,4.0,200.0,153.0,1400.0
Padalarang,3.0,165.0,144.0,1800.0
Kopo,5.0,70.0,150.0,1000.0
Bandung,3.0,130.0,102.0,850.0
Cidadap,7.0,200.0,392.0,2600.0
Cileunyi Wetan,4.0,400.0,224.0,1150.0
Bandung,4.0,120.0,150.0,1200.0
Cipatat,3.0,60.0,81.0,745.0
Hegarmanah,4.0,474.5,405.0,6466.5
Pajajaran,6.0,280.0,285.0,2250.0
Kiaracondong,4.0,110.0,90.0,780.0
Bandung,2.0,66.0,61.0,684.0
Bandung,5.0,474.5,405.0,6466.5
Bandung,3.0,135.0,204.0,1850.0
Margahayu Utara,3.0,400.0,405.0,6466.5
Padalarang,5.0,420.0,405.0,5500.0
Antapani,5.0,170.0,120.0,1000.0
Padalarang,3.0,100.0,144.0,1350.0
Arcamanik,3.0,87.0,112.0,990.0
Batununggal,3.0,150.0,180.0,3250.0
Bandung,3.0,90.0,93.0,1600.0
Ujung Berung,2.0,54.0,160.0,625.0
Astana Anyar,4.0,150.0,220.0,2600.0
Dago,3.0,109.0,220.0,3600.0
Riau,7.0,474.5,405.0,6466.5
Bojongsoang,2.0,55.0,100.0,950.0
Bandung Kulon,5.0,400.0,405.0,5775.0
Andir,2.0,68.0,41.0,883.0
Regol,4.0,474.5,405.0,6466.5
Regol,5.0,200.0,235.0,3000.0
Gedebage,5.0,215.0,190.0,4400.0
Lembang,2.0,60.0,55.0,300.0
Padalarang,3.0,97.0,162.0,1750.0
Soreang,2.0,60.0,72.0,400.0
Lembang,3.0,110.0,405.0,2500.0
Padalarang,2.0,60.0,126.0,1300.0
Pasteur,4.0,170.0,200.0,3200.0
Margaasih,2.0,75.0,90.0,800.0
Soekarno Hatta,2.0,80.0,84.0,740.0
Mandalajati,3.0,50.0,72.0,613.0
Pasir Kaliki,6.0,474.5,405.0,6466.5
Bandung,4.0,474.5,320.0,6466.5
Lengkong,3.0,200.0,117.0,1050.0
Pasteur,5.0,180.0,180.0,1700.0
Riau,6.0,200.0,405.0,6466.5
Buahbatu,4.0,230.0,120.0,750.0
Buahbatu,3.0,126.0,162.0,1450.0
Buahbatu,3.0,80.0,112.0,850.0
Padalarang,2.0,36.0,72.0,346.0
Antapani,4.0,100.0,120.0,1200.0
Buahbatu (Margacinta),4.0,220.0,165.0,1500.0
Lengkong,4.0,250.0,150.0,2700.0
Cidadap,5.0,474.5,405.0,6466.5
Sukasari,3.0,300.0,405.0,6466.5
Bandung,4.0,170.0,169.0,1850.0
Bandung,5.0,200.0,187.0,1700.0
Bandung,3.0,150.0,255.0,2750.0
Buahbatu,7.0,400.0,405.0,3100.0
Bandung,3.0,200.0,120.0,650.0
Bandung,6.0,348.0,170.0,4500.0
Bandung,3.0,474.5,405.0,6466.5
Cidadap,4.0,130.0,252.0,2000.0
Bandung,2.0,90.0,102.0,1300.0
Bandung,7.0,324.0,405.0,6466.5
Bandung,4.0,300.0,405.0,3950.0
Bandung,3.0,90.0,124.0,1125.0
Bandung,2.0,54.0,104.0,800.0
Sumur Bandung,5.0,275.0,405.0,5400.0
Cibeunying Kidul,2.0,50.0,66.0,650.0
Antapani,4.0,223.0,284.0,3300.0
Bandung Wetan,2.0,57.0,60.0,500.0
Buahbatu (Margacinta),5.0,165.0,152.0,1100.0
Sukajadi,3.0,180.0,165.0,2200.0
Ujung Berung,3.0,50.0,65.0,689.0
Parongpong,2.0,48.0,75.0,525.0
Buahbatu,3.0,90.0,68.0,925.0
Cilengkrang,3.0,50.0,46.0,678.0
Pasteur,7.0,431.0,405.0,5500.0
Cimenyan,2.0,80.0,65.0,650.0
Rancasari,5.0,300.0,210.0,2000.0
Riau,4.0,350.0,405.0,6466.5
Bandung,5.0,250.0,235.0,3500.0
Bandung,7.0,187.0,295.0,4500.0
Bandung,4.0,120.0,145.0,1450.0
Bandung Kulon,2.0,36.0,54.0,644.0
Bandung,4.0,400.0,405.0,3800.0
Sukasari,5.0,450.0,405.0,5500.0
Padalarang,2.0,100.0,144.0,1650.0
Margahayu Utara,5.0,180.0,144.0,1600.0
Bojongloa Kidul,2.0,150.0,86.0,850.0
Bandung,7.0,240.0,120.0,1700.0
Bandung,4.0,150.0,140.0,1850.0
Bandung,2.0,50.0,66.0,712.0
Antapani,2.0,60.0,72.0,1100.0
Bandung,5.0,350.0,400.0,3600.0
Bandung,4.0,363.0,405.0,6000.0
Gedebage,3.0,75.0,90.0,1500.0
Mekarwangi,4.0,230.0,225.0,3425.0
Sukasari,5.0,140.0,91.0,1200.0
Regol,2.0,80.0,98.0,790.0
Cijagra,4.0,130.0,132.0,1350.0
Margasari,4.0,250.0,170.0,1600.0
Katapang,2.0,36.0,50.0,155.0
Bandung,3.0,150.0,85.0,1400.0
Magahayu Selatan,3.0,95.0,105.0,755.0
Bandung,7.0,474.5,331.0,3500.0
Bandung,6.0,474.5,405.0,5000.0
Bandung,4.0,250.0,405.0,6000.0
Bandung,5.0,350.0,405.0,6466.5
Bandung,2.0,45.0,64.0,450.0
Dayeuhkolot,3.0,100.0,115.0,700.0
Cigondewah,4.0,150.0,144.0,1500.0
Bandung Kulon,2.0,45.0,65.0,440.0
Margahayu,3.0,110.0,69.0,625.0
Soekarno Hatta,2.0,45.0,65.0,675.0
Kebon Lega,4.0,160.0,168.0,1530.0
Katapang,3.0,100.0,60.0,825.0
Bandung,4.0,72.0,84.0,800.0
Sukasari,4.0,474.5,405.0,6466.5
Ciateul,4.0,90.0,100.0,1395.0
Bandung,2.0,45.0,60.0,383.0
Sukajadi,3.0,120.0,91.0,1350.0
Padalarang,3.0,98.0,108.0,1500.0
Padalarang,3.0,100.0,72.0,980.0
Bandung,3.0,164.0,270.0,3200.0
Bandung,4.0,105.0,80.0,991.0
Gegerkalong,5.0,380.0,405.0,4900.0
Turangga,6.0,280.0,240.0,2800.0
Bandung,3.0,180.0,90.0,1000.0
Soekarno Hatta,2.0,65.0,72.0,572.0
Rancasari,6.0,160.0,318.0,2300.0
Turangga,5.0,240.0,188.0,2400.0
